cnc_id,cnc_date,SpindleSpeed_max,Servocurrent_mean,SpindleLoad_max
20220824-0000062,2023-10-09 00:21:10.148,2226.04,145.78,29910.71
20220824-0000062,2023-10-09 00:21:10.148,2226.04,141.4,31406.24
20220824-0000064,2023-10-09 00:23:41.142,2232.1,141.4,31504.6
20220824-0000065,2023-10-09 00:24:54.159,2223.01,150.82,31288.43
20220824-0000066,2023-10-09 00:26:10.147,2228.06,152.66,31045.47
20220824-0000067,2023-10-09 00:27:26.145,2225.03,162.87,31998.96
20220824-0000068,2023-10-09 00:28:41.148,2227.05,133.87,31600.11
20220824-0000069,2023-10-09 00:29:55.139,2228.06,155.84,31289.37
20220824-0000070,2023-10-09 00:31:10.147,2227.05,165.2,31600.11
20220824-0000071,2023-10-09 00:31:11.154,2224.02,146.72,31289.37
20220824-0000072,2023-10-09 00:32:24.144,2223.01,155.17,32019.32
20220824-0000074,2023-10-09 00:33:41.140,2227.05,147.2,31856.99
20220824-0000075,2023-10-09 00:34:56.143,2226.04,138.21,31776.46
20220824-0000076,2023-10-09 00:36:11.634,2228.06,148.9,31856.99
20220824-0000078,2023-10-09 00:37:26.644,2227.05,152.99,31599.3
20220824-0000079,2023-10-09 00:38:40.643,2223.01,138.46,31948.76
